model_name,temperature,max_tokens,prompt,answer,run_index
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",3,0
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",4,1
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",4,2
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",3,3
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",3,4
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5","2

(Vous devriez prendre un petit",5
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",2,6
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",3,7
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",3,8
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",2,9
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",3,10
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5","HTTP_429: {""error"":{""message"":""Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01hwb40er1fyz8hdask42dzzrx` service tier `on_demand` on requests per minute (RPM): Limit 30, Used 30, Requ",11
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5","HTTP_429: {""error"":{""message"":""Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01hwb40er1fyz8hdask42dzzrx` service tier `on_demand` on requests per minute (RPM): Limit 30, Used 30, Requ",12
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5","HTTP_429: {""error"":{""message"":""Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01hwb40er1fyz8hdask42dzzrx` service tier `on_demand` on requests per minute (RPM): Limit 30, Used 30, Requ",13
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5","HTTP_429: {""error"":{""message"":""Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01hwb40er1fyz8hdask42dzzrx` service tier `on_demand` on requests per minute (RPM): Limit 30, Used 30, Requ",14
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5","HTTP_429: {""error"":{""message"":""Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01hwb40er1fyz8hdask42dzzrx` service tier `on_demand` on requests per minute (RPM): Limit 30, Used 30, Requ",15
